type,title_clean,cast_clean,listed_in_clean,description_clean,genres,release_year,duration,country,rating,country_encoded,rating_encoded
0,dick johnson dead,unknown,documentary,father nears end life filmmaker kirsten johnson stage death inventive comical way help face inevitable,['documentary'],2020,90 min,United States,PG-13,603,7
1,blood water,ama qamata khosi ngema gail mabalane thabang molaba dillon windvogel natasha thahane arno greeff xolile tshabalala getmore sithole cindy mahlangu ryle de morny greteli fincham sello maake kancube odwa gwanya mekaila mathys sandi schultz duane williams shamilla miller patrick mofokeng,international tv show tv drama tv mystery,crossing path party cape town teen set prove whether privateschool swimming star sister abducted birth,"['international', 'tv', 'show', 'tv', 'drama', 'tv', 'mystery']",2021,2 Seasons,South Africa,TV-MA,426,11
1,gangland,sami bouajila tracy gotoas samuel jouy nabiha akkari sofia lesaffre salim kechiouche noureddine farihi geert van rampelberg bakary diombera,crime tv show international tv show tv action adventure,protect family powerful drug lord skilled thief mehdi expert team robber pulled violent deadly turf war,"['crime', 'tv', 'show', 'international', 'tv', 'show', 'tv', 'action', 'adventure']",2021,1 Season,Unknown,TV-MA,736,11
1,jailbird new orleans,unknown,docuseries reality tv,feud flirtation toilet talk go among incarcerated woman orleans justice center new orleans gritty reality series,"['docuseries', 'reality', 'tv']",2021,1 Season,Unknown,TV-MA,736,11
1,kota factory,mayur jitendra kumar ranjan raj alam khan ahsaas channa revathi pillai urvi singh arun kumar,international tv show romantic tv show tv comedy,city coaching center known train india ’ finest collegiate mind earnest unexceptional student friend navigate campus life,"['international', 'tv', 'show', 'romantic', 'tv', 'show', 'tv', 'comedy']",2021,2 Seasons,India,TV-MA,251,11
1,midnight mass,kate siegel zach gilford hamish linklater henry thomas kristin lehman samantha sloyan igby rigney rahul kohli annarah cymone annabeth gish alex essoe rahul abburi matt biedel michael trucco crystal balint louis oliver,tv drama tv horror tv mystery,arrival charismatic young priest brings glorious miracle ominous mystery renewed religious fervor dying town desperate believe,"['tv', 'drama', 'tv', 'horror', 'tv', 'mystery']",2021,1 Season,Unknown,TV-MA,736,11
0,little pony new generation,vanessa hudgens kimiko glenn james marsden sofia carson liza koshy ken jeong elizabeth perkins jane krakowski michael mckean phil lamarr,child family movie,equestrias divided brighteyed hero belief earth pony pegasi unicorn pal — hoof heart ’ determined prove,"['child', 'family', 'movie']",2021,91 min,Unknown,PG,736,6
0,sankofa,kofi ghanaba oyafunmike ogunlano alexandra duah nick medley mutabaruka afemo omilami reggie carter mzuri,drama independent movie international movie,photo shoot ghana american model slip back time becomes enslaved plantation bear witness agony ancestral past,"['drama', 'independent', 'movie', 'international', 'movie']",1993,125 min,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",TV-MA,663,11
1,great british baking show,mel giedroyc sue perkins mary berry paul hollywood,british tv show reality tv,talented batch amateur baker face 10week competition whipping best dish hope named uk best,"['british', 'tv', 'show', 'reality', 'tv']",2021,9 Seasons,United Kingdom,TV-14,506,9
0,starling,melissa mccarthy chris odowd kevin kline timothy olyphant daveed diggs skyler gisondo laura harrier rosalind chao kimberly quinn loretta devine ravi kapoor,comedy drama,woman adjusting life loss contends feisty bird thats taken garden — husband who struggling find way forward,"['comedy', 'drama']",2021,104 min,United States,PG-13,603,7
1,vendetta truth lie mafia,unknown,crime tv show docuseries international tv show,sicily boast bold antimafia coalition happens trying bring organized crime accused criminal,"['crime', 'tv', 'show', 'docuseries', 'international', 'tv', 'show']",2021,1 Season,Unknown,TV-MA,736,11
1,bangkok breaking,sukollawat kanarot sushar manaying pavarit mongkolpisit sahajak boonthanakit suthipongse thatphithakkul bhasaworn bawronkirati daweerit chullasapya waratthaya wongchayaporn kittiphoom wongpentak abhicha thanachanun nophand boonyai kittipong khamsat arisara wongchalee jaytiya naiwattanakul pantipa arunwattanachai panupan jantanawong kungtap saelim phumphat chartsuriyakiat issara veranitinunt keerati sivakuae panjai sirisuwan supranee charoenpol suda chuenban visaka banhansupavat pitchatorn santinatornkul,crime tv show international tv show tv action adventure,struggling earn living bangkok man join emergency rescue service realizes must unravel citywide conspiracy,"['crime', 'tv', 'show', 'international', 'tv', 'show', 'tv', 'action', 'adventure']",2021,1 Season,Unknown,TV-MA,736,11
0,je suis karl,luna wedler jannis niewöhner milan peschel edin hasanović anna fialová marlon boess victor boccard fleur geffrier aziz dyab mélanie fouché elizaveta maximová,drama international movie,family murdered terrorist bombing young woman unknowingly lured joining group killed,"['drama', 'international', 'movie']",2021,127 min,"Germany, Czech Republic",TV-MA,218,11
0,confession invisible girl,klara castanho lucca picon júlia gomes marcus bessa kiria malheiros fernanda concon gabriel lima caio cabral leonardo cidade jade cardozo,child family movie comedy,clever sociallyawkward tetê join new school shell anything fit queen bee among classmate idea,"['child', 'family', 'movie', 'comedy']",2021,91 min,Unknown,TV-PG,736,12
1,crime story india detective,unknown,british tv show crime tv show docuseries,camera following bengaluru police job offer rare glimpse complex challenging inner working four major crime investigation,"['british', 'tv', 'show', 'crime', 'tv', 'show', 'docuseries']",2021,1 Season,Unknown,TV-MA,736,11
1,dear white people,logan browning brandon p bell deron horton antoinette robertson john patrick amedori ashley blaine featherson marque richardson giancarlo esposito,tv comedy tv drama,student color navigate daily slight slippery politics life ivy league college thats nearly postracial think,"['tv', 'comedy', 'tv', 'drama']",2021,4 Seasons,United States,TV-MA,603,11
0,europe dangerous man otto skorzeny spain,unknown,documentary international movie,declassified document reveal postwwii life otto skorzeny close hitler ally escaped spain became adviser world president,"['documentary', 'international', 'movie']",2020,67 min,Unknown,TV-MA,736,11
1,falsa identidad,luis ernesto franco camila sodi sergio goyri samadhi zendejas eduardo yáñez sonya smith alejandro camacho azela robinson uriel del toro géraldine bazán gabriela roel marcus ornellas,crime tv show spanishlanguage tv show tv drama,stranger diego isabel flee home mexico pretend married couple escape drugdealing enemy abusive husband,"['crime', 'tv', 'show', 'spanishlanguage', 'tv', 'show', 'tv', 'drama']",2020,2 Seasons,Mexico,TV-MA,342,11
0,intrusion,freida pinto logan marshallgreen robert john burke megan elisabeth kelly sarah minnich hayes hargrove mark sivertsen brandon fierro antonio valles clint obenchain,thriller,deadly home invasion couple ’ new dream house traumatized wife search answer — learns real danger beginning,['thriller'],2021,94 min,Unknown,TV-14,736,9
1,jaguar,blanca suárez iván marcos óscar casas adrián lastra francesc garrido stefan weinert julia möller alicia chojnowski,international tv show spanishlanguage tv show tv action adventure,1960s holocaust survivor join group selftrained spy seek justice nazi fleeing spain hide wwii,"['international', 'tv', 'show', 'spanishlanguage', 'tv', 'show', 'tv', 'action', 'adventure']",2021,1 Season,Unknown,TV-MA,736,11
1,monster inside 24 face billy milligan,unknown,crime tv show docuseries international tv show,late 1970s accused serial rapist claim multiple personality control behavior setting legal odyssey captivates america,"['crime', 'tv', 'show', 'docuseries', 'international', 'tv', 'show']",2021,1 Season,Unknown,TV-14,736,9
1,resurrection ertugrul,engin altan düzyatan serdar gökhan hülya darcan kaan taşaner esra bilgiç osman soykut serdar deniz cengiz coşkun reshad strik hande subaşı,international tv show tv action adventure tv drama,good deed unwittingly endangers clan 13thcentury turkish warrior agrees fight sultan enemy exchange new tribal land,"['international', 'tv', 'show', 'tv', 'action', 'adventure', 'tv', 'drama']",2018,5 Seasons,Turkey,TV-14,492,9
0,avvai shanmughi,kamal hassan meena gemini ganesan heera rajgopal nassar sp balasubrahmanyam,comedy international movie,newly divorced denied visitation right daughter doting father disguise grayhaired nanny order spend time,"['comedy', 'international', 'movie']",1996,161 min,Unknown,TV-PG,736,12
0,go go cory carson chrissy take wheel,maisie benson paul killam kerry gudjohnsen ac lim,child family movie,arcade game sled day hiccup cure cory carson ’ curious little sister chrissy speed fun adventure town,"['child', 'family', 'movie']",2021,61 min,Unknown,TV-Y,736,13
0,jean,prashanth aishwarya rai bachchan sri lakshmi nassar,comedy international movie romantic movie,father man love insists twin son marry twin sister woman creates alter ego might bit convincing,"['comedy', 'international', 'movie', 'romantic', 'movie']",1998,166 min,India,TV-14,251,9
1,love spectrum,brooke satchwell,docuseries international tv show reality tv,finding love hard anyone young adult autism spectrum exploring unpredictable world dating even complicated,"['docuseries', 'international', 'tv', 'show', 'reality', 'tv']",2021,2 Seasons,Australia,TV-14,15,9
0,minsara kanavu,arvind swamy kajol prabhu deva nassar sp balasubrahmanyam girish karnad,comedy international movie music musical,tangled love triangle ensues man fall woman studying become nun — fall friend enlists help pursue,"['comedy', 'international', 'movie', 'music', 'musical']",1997,147 min,Unknown,TV-PG,736,12
0,grown ups,adam sandler kevin james chris rock david spade rob schneider salma hayek maria bello maya rudolph colin quinn tim meadow joyce van patten,comedy,mourning loss beloved junior high basketball coach five middleaged pal reunite lake house rediscover joy kid,['comedy'],2010,103 min,United States,PG-13,603,7
0,dark sky,keri russell josh hamilton jk simmons dakota goyo kadan rockett lj benet rich hutchman myndy crist annie thurman jake brennan,horror movie scifi fantasy,family ’ idyllic suburban life shatters alien force invades home struggle convince others deadly threat,"['horror', 'movie', 'scifi', 'fantasy']",2013,97 min,United States,PG-13,603,7
0,paranoia,liam hemsworth gary oldman amber heard harrison ford lucas till embeth davidtz julian mcmahon josh holloway richard dreyfus angela sarafyan,thriller,blackmailed company ceo lowlevel employee find forced spy boss rival former mentor,['thriller'],2013,106 min,"United States, India, France",PG-13,673,7
0,ankahi kahaniya,abhishek banerjee rinku rajguru delzad hiwale kunal kapoor zoya hussain nikhil dwivedi palomi ghosh,drama independent movie international movie,big city life buzz around lonely soul discover surprising source connection companionship three tale love loss longing,"['drama', 'independent', 'movie', 'international', 'movie']",2021,111 min,Unknown,TV-14,736,9
1,chicago party aunt,lauren ash rory omalley rupaul charles jill talley ike barinholtz jon barinholtz matthew craig bob odenkirk mike hagerty katie rich chris witaske,tv comedy,chicago party aunt diane idolized troublemaker talent avoiding adulthood — soft spot soulsearching nephew,"['tv', 'comedy']",2021,1 Season,Unknown,TV-MA,736,11
1,sex education,asa butterfield gillian anderson ncuti gatwa emma mackey connor swindells kedar williamsstirling alistair petrie,british tv show international tv show tv comedy,insecure otis answer come sex advice thanks therapist mom rebel maeve proposes school sextherapy clinic,"['british', 'tv', 'show', 'international', 'tv', 'show', 'tv', 'comedy']",2020,3 Seasons,United Kingdom,TV-MA,506,11
1,squid game,lee jungjae park haesoo wi hajun oh youngsoo jung hoyeon heo sungtae kim jooryoung tripathi anupam seongjoo lee youmi,international tv show tv drama tv thriller,hundred cashstrapped player accept strange invitation compete childrens game inside tempting prize awaits — deadly high stake,"['international', 'tv', 'show', 'tv', 'drama', 'tv', 'thriller']",2021,1 Season,Unknown,TV-MA,736,11
1,tayo little wizard,dami lee jason lee bommie catherine han jennifer waescher nancy kim,kid tv,tayo speed adventure friend get kidnapped evil magician invading city search magical gemstone,"['kid', 'tv']",2020,1 Season,Unknown,TV-Y7,736,14
0,father move mountain,adrian titieni elena purea judith state valeriu andriuță tudor smoleanu virgil aioanei radu botar petronela grigorescu bogdan nechifor cristian bota,drama international movie thriller,son go missing snowy hike mountain retired intelligence officer stop nothing — risk everything — find,"['drama', 'international', 'movie', 'thriller']",2021,110 min,Unknown,TV-MA,736,11
0,stronghold,gilles lellouche karim leklou françois civil adèle exarchopoulos kenza fortas cyril lecomte michaël abiteboul idir azougli vincent darmuzey jeanyves berteloot,action adventure drama international movie,tired smalltime grind three marseille cop get chance bust major drug network line blur key informant make big ask,"['action', 'adventure', 'drama', 'international', 'movie']",2021,105 min,Unknown,TV-MA,736,11
